FeatureCode,DateCode,Measurement,Units,Value,Energy Type,Energy Consuming Sector
S12000040,2009,Count,GWh,12.602035505,Coal,Domestic
S12000040,2009,Count,GWh,23.326095953,Bioenergy & Wastes,Domestic
S12000027,2010,Count,GWh,103.50989507,Electricity,Domestic
S12000027,2010,Count,GWh,10.949559706,Coal,Domestic
S92000003,2017,Count,GWh,3111.575734,Petroleum Products,Domestic
S12000027,2009,Count,GWh,101.55372362,Electricity,Domestic
S12000027,2009,Count,GWh,0,Gas,Domestic
S12000040,2009,Count,GWh,302.90503112,Electricity,Domestic
S92000003,2018,Count,GWh,505.14688031,Coal,Domestic
S12000045,2018,Count,GWh,169.6590948,Electricity,Domestic
S12000027,2009,Count,GWh,78.647944082,Petroleum Products,Domestic
S12000027,2009,Count,GWh,4.5426778837,Manufactured Fuels,Domestic
S92000003,2017,Count,GWh,522.03248859,Coal,Domestic
S12000027,2011,Count,GWh,103.73006631,Electricity,Domestic
S12000045,2018,Count,GWh,2.3329425867,Manufactured Fuels,Domestic
S12000027,2011,Count,GWh,10.815207015,Coal,Domestic
S12000045,2018,Count,GWh,8.7699647165,Petroleum Products,Domestic
S12000027,2011,Count,GWh,67.961925794,Petroleum Products,Domestic
S12000027,2011,Count,GWh,0,Gas,Domestic
S12000027,2011,Count,GWh,4.583945578,Manufactured Fuels,Domestic
S92000003,2017,Count,GWh,304.89182844,Manufactured Fuels,Domestic
S12000027,2010,Count,GWh,87.858665469,Petroleum Products,Domestic
S12000027,2010,Count,GWh,0,Gas,Domestic
S12000027,2010,Count,GWh,5.1617389342,Manufactured Fuels,Domestic
S92000003,2017,Count,GWh,10011.09613,Electricity,Domestic
S12000027,2011,Count,GWh,8.0625633374,Bioenergy & Wastes,Domestic
S92000003,2017,Count,GWh,28351.73473,Gas,Domestic
S12000026,2009,Count,GWh,245.35747361,Petroleum Products,Domestic
S12000040,2015,Count,GWh,28.029379718,Petroleum Products,Domestic
S12000026,2009,Count,GWh,19.083619305,Manufactured Fuels,Domestic
S12000045,2015,Count,GWh,2.4488260931,Coal,Domestic
S12000026,2010,Count,GWh,46.049412914,Coal,Domestic
S12000040,2015,Count,GWh,1012.114678,Gas,Domestic
S12000026,2010,Count,GWh,37.702584232,Bioenergy & Wastes,Domestic
S12000040,2015,Count,GWh,6.1252382631,Manufactured Fuels,Domestic
S12000045,2015,Count,GWh,23.421182705,Bioenergy & Wastes,Domestic
S12000026,2009,Count,GWh,44.113350916,Coal,Domestic
S12000040,2016,Count,GWh,10.172783946,Coal,Domestic
S12000026,2009,Count,GWh,29.243252722,Bioenergy & Wastes,Domestic
S12000026,2009,Count,GWh,284.66908994,Electricity,Domestic
S12000026,2009,Count,GWh,551.13712881,Gas,Domestic
S12000040,2016,Count,GWh,45.105779893,Bioenergy & Wastes,Domestic
S12000026,2011,Count,GWh,45.484256053,Coal,Domestic
S12000040,2015,Count,GWh,41.975711303,Bioenergy & Wastes,Domestic
S12000026,2011,Count,GWh,32.755019482,Bioenergy & Wastes,Domestic
S12000045,2015,Count,GWh,746.3723821,Gas,Domestic
S12000026,2011,Count,GWh,519.73191927,Gas,Domestic
S12000026,2011,Count,GWh,19.246921741,Manufactured Fuels,Domestic
S12000045,2015,Count,GWh,2.0225360956,Manufactured Fuels,Domestic
S12000026,2011,Count,GWh,272.74161773,Electricity,Domestic
S12000026,2010,Count,GWh,21.693770734,Manufactured Fuels,Domestic
S12000040,2015,Count,GWh,298.8390219,Electricity,Domestic
S12000026,2010,Count,GWh,282.36450128,Electricity,Domestic
S12000026,2010,Count,GWh,552.58823056,Gas,Domestic
S12000045,2015,Count,GWh,187.7010577,Electricity,Domestic
S12000040,2015,Count,GWh,10.226637463,Coal,Domestic
S12000026,2010,Count,GWh,279.93517461,Petroleum Products,Domestic
S12000040,2017,Count,GWh,9.911660301,Coal,Domestic
S12000026,2007,Count,GWh,22.618873944,Bioenergy & Wastes,Domestic
S12000026,2006,Count,GWh,275.59475499,Petroleum Products,Domestic
S12000045,2014,Count,GWh,189.575449,Electricity,Domestic
S12000040,2017,Count,GWh,44.836003284,Bioenergy & Wastes,Domestic
S12000045,2014,Count,GWh,1.9786574663,Manufactured Fuels,Domestic
S12000045,2014,Count,GWh,759.1411,Gas,Domestic
S12000026,2007,Count,GWh,41.642533202,Coal,Domestic
S12000040,2017,Count,GWh,1063.499452,Gas,Domestic
S12000026,2006,Count,GWh,293.62261,Electricity,Domestic
S12000040,2017,Count,GWh,6.5968598374,Manufactured Fuels,Domestic
S12000026,2006,Count,GWh,36.348678759,Coal,Domestic
S12000026,2006,Count,GWh,21.230758826,Manufactured Fuels,Domestic
S12000040,2017,Count,GWh,281.3251486,Electricity,Domestic
S12000026,2006,Count,GWh,607.34186,Gas,Domestic
S12000040,2016,Count,GWh,1021.666218,Gas,Domestic
S12000026,2008,Count,GWh,285.07456,Electricity,Domestic
S12000040,2016,Count,GWh,6.0326984112,Manufactured Fuels,Domestic
S12000026,2008,Count,GWh,44.056617718,Coal,Domestic
S12000040,2016,Count,GWh,285.6555397,Electricity,Domestic
S12000026,2008,Count,GWh,252.94082395,Petroleum Products,Domestic
S12000026,2008,Count,GWh,601.92228,Gas,Domestic
S12000026,2008,Count,GWh,23.222594559,Manufactured Fuels,Domestic
S12000026,2007,Count,GWh,19.195545588,Manufactured Fuels,Domestic
S12000026,2007,Count,GWh,235.54747068,Petroleum Products,Domestic
S12000026,2007,Count,GWh,294.91354,Electricity,Domestic
S12000026,2007,Count,GWh,621.20482,Gas,Domestic
S12000040,2016,Count,GWh,27.925537355,Petroleum Products,Domestic
S12000026,2008,Count,GWh,26.843021595,Bioenergy & Wastes,Domestic
S12000045,2014,Count,GWh,8.7756038012,Petroleum Products,Domestic
S12000026,2015,Count,GWh,264.6095565,Electricity,Domestic
S12000026,2015,Count,GWh,496.729897,Gas,Domestic
S12000040,2013,Count,GWh,39.117161322,Bioenergy & Wastes,Domestic
S12000045,2016,Count,GWh,1.9619581122,Manufactured Fuels,Domestic
S12000045,2016,Count,GWh,8.8051561661,Petroleum Products,Domestic
S12000040,2012,Count,GWh,29.794264433,Petroleum Products,Domestic
S12000026,2015,Count,GWh,17.530399532,Manufactured Fuels,Domestic
S12000026,2015,Count,GWh,191.81323342,Petroleum Products,Domestic
S12000045,2016,Count,GWh,178.887802,Electricity,Domestic
S12000040,2013,Count,GWh,11.889793452,Coal,Domestic
S12000040,2013,Count,GWh,296.01392406,Electricity,Domestic
S12000026,2014,Count,GWh,191.80502125,Petroleum Products,Domestic
S12000045,2016,Count,GWh,748.6771606,Gas,Domestic
S12000026,2015,Count,GWh,35.821133202,Coal,Domestic
S12000026,2015,Count,GWh,52.6237368,Bioenergy & Wastes,Domestic
S12000040,2012,Count,GWh,12.413490817,Coal,Domestic
S12000026,2017,Count,GWh,56.209602233,Bioenergy & Wastes,Domestic
S12000040,2012,Count,GWh,296.69734238,Electricity,Domestic
S12000026,2016,Count,GWh,191.74952277,Petroleum Products,Domestic
S12000040,2012,Count,GWh,33.22760095,Bioenergy & Wastes,Domestic
S12000026,2017,Count,GWh,252.5846325,Electricity,Domestic
S12000045,2017,Count,GWh,25.017139484,Bioenergy & Wastes,Domestic
S12000026,2017,Count,GWh,34.713875327,Coal,Domestic
S12000026,2016,Count,GWh,35.620398646,Coal,Domestic
S12000040,2012,Count,GWh,1069.8865455,Gas,Domestic
S12000026,2016,Count,GWh,56.547813379,Bioenergy & Wastes,Domestic
S12000040,2012,Count,GWh,6.1184792443,Manufactured Fuels,Domestic
S12000026,2016,Count,GWh,501.5533518,Gas,Domestic
S12000026,2016,Count,GWh,17.477536088,Manufactured Fuels,Domestic
S12000026,2016,Count,GWh,252.4314848,Electricity,Domestic
S12000026,2012,Count,GWh,18.61359867,Manufactured Fuels,Domestic
S12000040,2014,Count,GWh,297.9443203,Electricity,Domestic
S12000026,2012,Count,GWh,272.8208647,Electricity,Domestic
S12000026,2012,Count,GWh,526.26562554,Gas,Domestic
S12000026,2013,Count,GWh,49.040055261,Bioenergy & Wastes,Domestic
S12000045,2016,Count,GWh,25.167666714,Bioenergy & Wastes,Domestic
S12000026,2012,Count,GWh,213.06570423,Petroleum Products,Domestic
S12000040,2014,Count,GWh,10.158379993,Coal,Domestic
S12000040,2014,Count,GWh,27.890560072,Petroleum Products,Domestic
S12000026,2012,Count,GWh,41.656483539,Bioenergy & Wastes,Domestic
S12000026,2011,Count,GWh,213.79780156,Petroleum Products,Domestic
S12000045,2015,Count,GWh,8.8544007262,Petroleum Products,Domestic
S12000026,2012,Count,GWh,43.443738942,Coal,Domestic
S12000040,2014,Count,GWh,1033.237,Gas,Domestic
S12000040,2014,Count,GWh,6.2779101926,Manufactured Fuels,Domestic
S12000040,2013,Count,GWh,6.747714905,Manufactured Fuels,Domestic
S12000026,2014,Count,GWh,35.580802857,Coal,Domestic
S12000040,2013,Count,GWh,30.623516939,Petroleum Products,Domestic
S12000026,2014,Count,GWh,46.582304062,Bioenergy & Wastes,Domestic
S12000026,2014,Count,GWh,504.9064,Gas,Domestic
S12000026,2014,Count,GWh,18.633139175,Manufactured Fuels,Domestic
S12000040,2013,Count,GWh,1045.9290138,Gas,Domestic
S12000026,2014,Count,GWh,265.9019071,Electricity,Domestic
S12000026,2013,Count,GWh,262.18318572,Electricity,Domestic
S12000026,2013,Count,GWh,511.66978641,Gas,Domestic
S12000026,2013,Count,GWh,41.65858587,Coal,Domestic
S12000040,2014,Count,GWh,37.156717971,Bioenergy & Wastes,Domestic
S12000045,2016,Count,GWh,2.4376442319,Coal,Domestic
S12000026,2013,Count,GWh,219.21293599,Petroleum Products,Domestic
S12000026,2013,Count,GWh,21.61109874,Manufactured Fuels,Domestic
S12000028,2014,Count,GWh,5.5673925317,Manufactured Fuels,Domestic
S92000003,2008,Count,GWh,385.10717205,Manufactured Fuels,Domestic
S12000028,2014,Count,GWh,218.5994937,Electricity,Domestic
S12000028,2014,Count,GWh,669.6787,Gas,Domestic
S92000003,2008,Count,GWh,11577.73478,Electricity,Domestic
S12000028,2015,Count,GWh,27.719505369,Bioenergy & Wastes,Domestic
S12000028,2014,Count,GWh,63.782092303,Petroleum Products,Domestic
S92000003,2008,Count,GWh,33341.54691,Gas,Domestic
S12000028,2014,Count,GWh,24.537186178,Bioenergy & Wastes,Domestic
S12000039,2018,Count,GWh,1.4308190011,Manufactured Fuels,Domestic
S92000003,2009,Count,GWh,751.95383082,Bioenergy & Wastes,Domestic
S12000039,2018,Count,GWh,7.6362758637,Petroleum Products,Domestic
S92000003,2008,Count,GWh,4116.4938576,Petroleum Products,Domestic
S12000039,2018,Count,GWh,492.0974116,Gas,Domestic
S12000028,2014,Count,GWh,9.7259628699,Coal,Domestic
S12000028,2016,Count,GWh,29.78650913,Bioenergy & Wastes,Domestic
S12000047,2007,Count,GWh,40.499864687,Bioenergy & Wastes,Domestic
S92000003,2008,Count,GWh,690.2348762,Bioenergy & Wastes,Domestic
S12000039,2018,Count,GWh,1.4967426443,Coal,Domestic
S12000039,2018,Count,GWh,15.876967317,Bioenergy & Wastes,Domestic
S12000028,2016,Count,GWh,205.2448669,Electricity,Domestic
S12000028,2016,Count,GWh,9.7383197565,Coal,Domestic
S92000003,2007,Count,GWh,3872.1743473,Petroleum Products,Domestic
S92000003,2008,Count,GWh,662.89525363,Coal,Domestic
S12000028,2015,Count,GWh,217.3966243,Electricity,Domestic
S12000028,2015,Count,GWh,9.7914800678,Coal,Domestic
S12000039,2018,Count,GWh,135.1635772,Electricity,Domestic
S12000028,2015,Count,GWh,5.3461935254,Manufactured Fuels,Domestic
S12000028,2015,Count,GWh,63.850076015,Petroleum Products,Domestic
S12000028,2015,Count,GWh,655.0193016,Gas,Domestic
S12000028,2012,Count,GWh,21.942514721,Bioenergy & Wastes,Domestic
S12000047,2006,Count,GWh,2877.1457,Gas,Domestic
S92000003,2010,Count,GWh,969.47500724,Bioenergy & Wastes,Domestic
S12000040,2005,Count,GWh,11.506767404,Coal,Domestic
S12000040,2005,Count,GWh,17.03815363,Bioenergy & Wastes,Domestic
S12000028,2012,Count,GWh,222.41991705,Electricity,Domestic
S12000028,2012,Count,GWh,11.880346589,Coal,Domestic
S92000003,2009,Count,GWh,4003.3766188,Petroleum Products,Domestic
S12000028,2011,Count,GWh,226.86802408,Electricity,Domestic
S12000028,2011,Count,GWh,707.31899056,Gas,Domestic
S12000040,2005,Count,GWh,318.44103,Electricity,Domestic
S92000003,2010,Count,GWh,692.68147953,Coal,Domestic
S12000047,2006,Count,GWh,728.08452,Electricity,Domestic
S12000028,2011,Count,GWh,70.550240991,Petroleum Products,Domestic
S12000028,2011,Count,GWh,5.4883858014,Manufactured Fuels,Domestic
S92000003,2009,Count,GWh,663.52069572,Coal,Domestic
S12000028,2013,Count,GWh,217.24842183,Electricity,Domestic
S12000047,2006,Count,GWh,16.543281871,Manufactured Fuels,Domestic
S12000028,2013,Count,GWh,11.385434277,Coal,Domestic
S12000047,2006,Count,GWh,134.796499,Petroleum Products,Domestic
S12000028,2013,Count,GWh,72.312465064,Petroleum Products,Domestic
S12000028,2013,Count,GWh,685.27079941,Gas,Domestic
S12000028,2013,Count,GWh,6.1931983309,Manufactured Fuels,Domestic
S92000003,2009,Count,GWh,293.43892776,Manufactured Fuels,Domestic
S12000028,2012,Count,GWh,70.292356801,Petroleum Products,Domestic
S12000028,2012,Count,GWh,700.25790244,Gas,Domestic
S12000028,2012,Count,GWh,5.4859293826,Manufactured Fuels,Domestic
S92000003,2009,Count,GWh,11434.958584,Electricity,Domestic
S12000028,2013,Count,GWh,25.831804388,Bioenergy & Wastes,Domestic
S92000003,2009,Count,GWh,30730.200964,Gas,Domestic
S12000029,2006,Count,GWh,29.386813512,Bioenergy & Wastes,Domestic
S12000047,2007,Count,GWh,2909.55851,Gas,Domestic
S92000003,2006,Count,GWh,573.67131632,Bioenergy & Wastes,Domestic
S12000039,2017,Count,GWh,1.5471137559,Coal,Domestic
S12000039,2017,Count,GWh,14.530871819,Bioenergy & Wastes,Domestic
S12000029,2006,Count,GWh,704.02205,Electricity,Domestic
S12000029,2006,Count,GWh,23.403617847,Coal,Domestic
S92000003,2005,Count,GWh,4218.0162912,Petroleum Products,Domestic
S12000029,2005,Count,GWh,714.82632,Electricity,Domestic
S12000029,2005,Count,GWh,2292.63353,Gas,Domestic
S12000039,2017,Count,GWh,142.1782701,Electricity,Domestic
S92000003,2006,Count,GWh,546.58702133,Coal,Domestic
S12000047,2007,Count,GWh,720.46687,Electricity,Domestic
S12000029,2005,Count,GWh,156.60217925,Petroleum Products,Domestic
S12000029,2005,Count,GWh,16.581948609,Manufactured Fuels,Domestic
S92000003,2005,Count,GWh,606.64857919,Coal,Domestic
S12000029,2007,Count,GWh,696.71841,Electricity,Domestic
S12000047,2007,Count,GWh,15.190921606,Manufactured Fuels,Domestic
S12000029,2007,Count,GWh,26.828378762,Coal,Domestic
S12000047,2007,Count,GWh,117.06943336,Petroleum Products,Domestic
S12000029,2007,Count,GWh,144.08229328,Petroleum Products,Domestic
S12000029,2007,Count,GWh,2258.83675,Gas,Domestic
S12000029,2007,Count,GWh,14.467694019,Manufactured Fuels,Domestic
S92000003,2005,Count,GWh,369.64613096,Manufactured Fuels,Domestic
S12000029,2006,Count,GWh,166.84827263,Petroleum Products,Domestic
S12000029,2006,Count,GWh,2241.38012,Gas,Domestic
S12000029,2006,Count,GWh,15.855979888,Manufactured Fuels,Domestic
S92000003,2005,Count,GWh,12391.56729,Electricity,Domestic
S12000029,2007,Count,GWh,29.793796023,Bioenergy & Wastes,Domestic
S92000003,2005,Count,GWh,35329.41629,Gas,Domestic
S92000003,2007,Count,GWh,626.44989755,Coal,Domestic
S12000028,2017,Count,GWh,201.981968,Electricity,Domestic
S12000028,2017,Count,GWh,9.4893801066,Coal,Domestic
S12000047,2007,Count,GWh,24.87384801,Coal,Domestic
S12000028,2017,Count,GWh,62.603530747,Petroleum Products,Domestic
S92000003,2007,Count,GWh,581.61617893,Bioenergy & Wastes,Domestic
S12000028,2017,Count,GWh,674.8657017,Gas,Domestic
S12000028,2017,Count,GWh,5.6971686895,Manufactured Fuels,Domestic
S92000003,2007,Count,GWh,322.0795661,Manufactured Fuels,Domestic
S12000028,2016,Count,GWh,63.781246756,Petroleum Products,Domestic
S12000028,2016,Count,GWh,654.3808692,Gas,Domestic
S12000028,2016,Count,GWh,5.2934246217,Manufactured Fuels,Domestic
S92000003,2007,Count,GWh,12001.33427,Electricity,Domestic
S12000028,2017,Count,GWh,29.608356719,Bioenergy & Wastes,Domestic
S92000003,2007,Count,GWh,34469.3429,Gas,Domestic
S92000003,2006,Count,GWh,353.91865959,Manufactured Fuels,Domestic
S12000028,2018,Count,GWh,62.814919569,Petroleum Products,Domestic
S12000028,2018,Count,GWh,672.7186851,Gas,Domestic
S12000028,2018,Count,GWh,5.7692860869,Manufactured Fuels,Domestic
S12000029,2005,Count,GWh,28.13591282,Bioenergy & Wastes,Domestic
S12000029,2005,Count,GWh,25.967975685,Coal,Domestic
S92000003,2006,Count,GWh,34342.56427,Gas,Domestic
S92000003,2006,Count,GWh,12116.62246,Electricity,Domestic
S12000039,2017,Count,GWh,1.3796092268,Manufactured Fuels,Domestic
S12000028,2018,Count,GWh,9.1823307546,Coal,Domestic
S12000039,2017,Count,GWh,7.5944795161,Petroleum Products,Domestic
S12000028,2018,Count,GWh,32.351184258,Bioenergy & Wastes,Domestic
S12000039,2017,Count,GWh,496.1203984,Gas,Domestic
S12000028,2018,Count,GWh,194.6404594,Electricity,Domestic
S92000003,2006,Count,GWh,4499.2621447,Petroleum Products,Domestic
S12000027,2018,Count,GWh,15.117558869,Bioenergy & Wastes,Domestic
S12000047,2005,Count,GWh,2971.94183,Gas,Domestic
S92000003,2014,Count,GWh,1197.8059453,Bioenergy & Wastes,Domestic
S12000040,2007,Count,GWh,11.900669328,Coal,Domestic
S12000040,2007,Count,GWh,18.042111414,Bioenergy & Wastes,Domestic
S12000027,2018,Count,GWh,95.15445554,Electricity,Domestic
S12000027,2018,Count,GWh,7.9874067884,Coal,Domestic
S92000003,2013,Count,GWh,3580.9516774,Petroleum Products,Domestic
S12000027,2017,Count,GWh,99.09923304,Electricity,Domestic
S12000027,2017,Count,GWh,0,Gas,Domestic
S12000040,2007,Count,GWh,316.4523,Electricity,Domestic
S92000003,2014,Count,GWh,535.05260516,Coal,Domestic
S12000047,2005,Count,GWh,742.93603,Electricity,Domestic
S12000027,2017,Count,GWh,61.992366769,Petroleum Products,Domestic
S12000027,2017,Count,GWh,4.4019026417,Manufactured Fuels,Domestic
S92000003,2013,Count,GWh,626.36904486,Coal,Domestic
S12000028,2005,Count,GWh,249.24253,Electricity,Domestic
S12000047,2005,Count,GWh,17.354533265,Manufactured Fuels,Domestic
S12000028,2005,Count,GWh,11.025311501,Coal,Domestic
S12000047,2005,Count,GWh,126.7443586,Petroleum Products,Domestic
S12000028,2005,Count,GWh,84.841262912,Petroleum Products,Domestic
S12000028,2005,Count,GWh,898.42913,Gas,Domestic
S12000028,2005,Count,GWh,6.9263124537,Manufactured Fuels,Domestic
S92000003,2013,Count,GWh,337.02328165,Manufactured Fuels,Domestic
S12000027,2018,Count,GWh,62.196011616,Petroleum Products,Domestic
S12000027,2018,Count,GWh,0,Gas,Domestic
S12000027,2018,Count,GWh,4.4161761873,Manufactured Fuels,Domestic
S92000003,2013,Count,GWh,10652.601097,Electricity,Domestic
S12000028,2005,Count,GWh,11.251487496,Bioenergy & Wastes,Domestic
S92000003,2013,Count,GWh,28072.986141,Gas,Domestic
S92000003,2015,Count,GWh,538.65916783,Coal,Domestic
S12000027,2015,Count,GWh,102.4371059,Electricity,Domestic
S12000027,2015,Count,GWh,8.5173637449,Coal,Domestic
S12000047,2005,Count,GWh,24.043469802,Coal,Domestic
S12000027,2015,Count,GWh,63.615754868,Petroleum Products,Domestic
S92000003,2015,Count,GWh,1353.1538657,Bioenergy & Wastes,Domestic
S12000027,2015,Count,GWh,0,Gas,Domestic
S12000027,2015,Count,GWh,4.1866042555,Manufactured Fuels,Domestic
S92000003,2015,Count,GWh,286.96912247,Manufactured Fuels,Domestic
S12000027,2014,Count,GWh,63.248217177,Petroleum Products,Domestic
S12000027,2014,Count,GWh,0,Gas,Domestic
S12000027,2014,Count,GWh,4.4461572224,Manufactured Fuels,Domestic
S92000003,2015,Count,GWh,10621.07643,Electricity,Domestic
S12000027,2015,Count,GWh,12.953196726,Bioenergy & Wastes,Domestic
S92000003,2015,Count,GWh,27315.37581,Gas,Domestic
S92000003,2014,Count,GWh,300.17143393,Manufactured Fuels,Domestic
S12000027,2016,Count,GWh,63.132832388,Petroleum Products,Domestic
S12000027,2016,Count,GWh,0,Gas,Domestic
S12000027,2016,Count,GWh,4.1727685795,Manufactured Fuels,Domestic
S12000027,2017,Count,GWh,13.835848237,Bioenergy & Wastes,Domestic
S12000027,2017,Count,GWh,8.2541042737,Coal,Domestic
S92000003,2014,Count,GWh,27699.51306,Gas,Domestic
S92000003,2014,Count,GWh,10763.07,Electricity,Domestic
S12000040,2007,Count,GWh,7.0837457634,Manufactured Fuels,Domestic
S12000027,2016,Count,GWh,8.4696905955,Coal,Domestic
S12000040,2007,Count,GWh,33.031836126,Petroleum Products,Domestic
S12000027,2016,Count,GWh,13.919098033,Bioenergy & Wastes,Domestic
S12000040,2007,Count,GWh,1298.44298,Gas,Domestic
S12000027,2016,Count,GWh,99.87424503,Electricity,Domestic
